Symbol,Name,IPO Year,Sector,Industry
RELY,Remitly Global Inc. Common Stock,2021.0,Technology,Computer Software: Prepackaged Software
RENN,Renren Inc. American Depositary Shares each representing fifteen Class A ordinary shares,2011.0,Technology,EDP Services
RENT,Rent the Runway Inc. Class A Common Stock,2021.0,Consumer Discretionary,Department/Specialty Retail Stores
REPL,Replimune Group Inc. Common Stock,2018.0,Health Care,Biotechnology: Pharmaceutical Preparations
REPX,Riley Exploration Permian Inc. Common Stock,1999.0,Energy,Oil & Gas Production
RETA,Reata Pharmaceuticals Inc. Class A Common Stock,2016.0,Health Care,Biotechnology: Pharmaceutical Preparations
RETO,ReTo Eco-Solutions Inc. Common Shares,2017.0,Consumer Discretionary,Multi-Sector Companies
REV,Revlon Inc. New Common Stock,1996.0,Consumer Discretionary,Package Goods/Cosmetics
REVB,Revelation Biosciences Inc. Common Stock,2020.0,Health Care,Biotechnology: Pharmaceutical Preparations
REVBU,Revelation Biosciences Inc. Unit,2020.0,Health Care,Biotechnology: Pharmaceutical Preparations
REVBW,Revelation Biosciences Inc. Warrant,2020.0,Health Care,Biotechnology: Pharmaceutical Preparations
REVE,Alpine Acquisition Corporation Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
REVEU,Alpine Acquisition Corporation Unit,2021.0,Industrials,Consumer Electronics/Appliances
REVG,REV Group Inc. Common Stock,2017.0,Industrials,Industrial Machinery/Components
REVH,Revolution Healthcare Acquisition Corp. SAIL Class A Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
REVHU,Revolution Healthcare Acquisition Corp. SAIL Units,2021.0,Industrials,Consumer Electronics/Appliances
REVHW,Revolution Healthcare Acquisition Corp. SAIL Warrant.,2021.0,Industrials,Consumer Electronics/Appliances
REXR,Rexford Industrial Realty Inc. Common Stock,2013.0,Real Estate,Real Estate Investment Trusts
REYN,Reynolds Consumer Products Inc. Common Stock,2020.0,Industrials,Office Equipment/Supplies/Services
REZI,Resideo Technologies Inc. Common Stock ,2018.0,Technology,Security Systems Services
RFAC,RF Acquisition Corp. Class A Common Stock,2022.0,Industrials,Consumer Electronics/Appliances
RFACU,RF Acquisition Corp. Unit,2022.0,Industrials,Consumer Electronics/Appliances
RFACW,RF Acquisition Corp. Warrants,2022.0,Industrials,Consumer Electronics/Appliances
RFI,Cohen & Steers Total Return Realty Fund Inc. Common Stock,1993.0,Finance,Investment Managers
RFL,Rafael Holdings Inc. Class B Common Stock,2018.0,Real Estate,Real Estate
RFM,RiverNorth Flexible Municipal Income Fund Inc. Common Stock,2020.0,Finance,Trusts Except Educational Religious and Charitable
RFMZ,RiverNorth Flexible Municipal Income Fund II Inc. Common Stock,2021.0,Finance,Trusts Except Educational Religious and Charitable
RGEN,Repligen Corporation Common Stock,1986.0,Health Care,Medical/Dental Instruments
RGF,The Real Good Food Company Inc. Class A Common Stock,2021.0,Consumer Discretionary,Food Distributors
RGLS,Regulus Therapeutics Inc. Common Stock,2012.0,Health Care,Biotechnology: Pharmaceutical Preparations
RGNX,REGENXBIO Inc. Common Stock,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RGT,Royce Global Value Trust Inc. Common Stock,2013.0,Finance,Trusts Except Educational Religious and Charitable
RH,RH Common Stock,2012.0,Consumer Discretionary,Other Specialty Stores
RHE,Regional Health Properties Inc. Common Stock,2017.0,Health Care,Hospital/Nursing Management
RICK,RCI Hospitality Holdings Inc. Common Stock,1995.0,Consumer Discretionary,Restaurants
RIDE,Lordstown Motors Corp. Class A Common Stock,2019.0,Consumer Discretionary,Construction/Ag Equipment/Trucks
RIGL,Rigel Pharmaceuticals Inc. Common Stock,2000.0,Health Care,Biotechnology: Pharmaceutical Preparations
RIO,Rio Tinto Plc Common Stock,2002.0,Basic Materials,Metal Mining
RIV,RiverNorth Opportunities Fund Inc. Common Stock,2015.0,Finance,Finance Companies
RIVN,Rivian Automotive Inc. Class A Common Stock,2021.0,Consumer Discretionary,Auto Manufacturing
RJAC,Jackson Acquisition Company Class A Common Stock,2022.0,Industrials,Consumer Electronics/Appliances
RKDA,Arcadia Biosciences Inc. Common Stock,2015.0,Industrials,Agricultural Chemicals
RKLB,Rocket Lab USA Inc. Common Stock,2020.0,Industrials,Aerospace
RKT,Rocket Companies Inc. Class A Common Stock,2020.0,Finance,Finance: Consumer Services
RL,Ralph Lauren Corporation Common Stock,1997.0,Consumer Discretionary,Apparel
RLAY,Relay Therapeutics Inc. Common Stock,2020.0,Health Care,Biotechnology: Pharmaceutical Preparations
RLJ,RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value,2011.0,Real Estate,Real Estate Investment Trusts
RLTY,Cohen & Steers Real Estate Opportunities and Income Fund Common Shares of Beneficial Interest,2022.0,Finance,Investment Managers
RLX,RLX Technology Inc. American Depositary Shares each representing the right to receive one (1) Class A ordinary share,2021.0,Consumer Discretionary,Farming/Seeds/Milling
RLYB,Rallybio Corporation Common Stock,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
RM,Regional Management Corp. Common Stock,2012.0,Finance,Finance: Consumer Services
RMAX,RE/MAX Holdings Inc. Class A Common Stock,2013.0,Finance,Real Estate
RMBS,Rambus Inc. Common Stock,1997.0,Technology,Semiconductors
RMED,Ra Medical Systems Inc. Common Stock,2018.0,Health Care,Medical/Dental Instruments
RMGC,RMG Acquisition Corp. III Class A Ordinary Shares,2021.0,Finance,Business Services
